דירה,בניין,קומה,חדרים,שטח,מחיר,"מחיר למ""ר",Quality Score,Price Score,Value Score,דירוג,הערות
18,10,6,5,125.93,1880726,14934.69,79.8,33.5,62.2,220,במחיר שוק; סטייה +2.4%
10,5,3,5,127.03,1877650,14781.15,68.3,48.2,62.1,221,במחיר שוק; סטייה +1.4%; קיימת חלופה טובה יותר באותו מחיר
6,6,2,5,125.93,1865205,14811.44,75.5,45.3,62.1,222,במחיר שוק; סטייה +1.6%; קיימת חלופה טובה יותר באותו מחיר
3,10,1,5,125.93,1863968,14801.62,74.4,46.3,62.1,223,במחיר שוק; סטייה +1.5%; קיימת חלופה טובה יותר באותו מחיר
16,6,5,5,127.03,1878701,14789.43,68.8,47.4,62.0,224,במחיר שוק; סטייה +1.4%; קיימת חלופה טובה יותר באותו מחיר
35,14,8,5.5,142.42,2084225,14634.36,72.4,46.3,62.0,225,במחיר שוק; סטייה +0.3%; קיימת חלופה טובה יותר באותו מחיר
62,14,13,4,113.65,1650184,14519.88,68.9,48.5,62.0,226,במחיר שוק; סטייה -0.4%; קיימת חלופה טובה יותר באותו מחיר
3,6,1,5,125.93,1864772,14808.0,74.6,45.7,61.9,227,במחיר שוק; סטייה +1.5%; קיימת חלופה טובה יותר באותו מחיר
41,7,9,3,82.83,1204702,14544.27,63.1,45.7,61.9,228,במחיר שוק; סטייה -0.3%; קיימת חלופה טובה יותר באותו מחיר
9,12,4,4,116.7,1704159,14602.9,74.2,40.7,61.9,229,במחיר שוק; סטייה +0.1%; קיימת חלופה טובה יותר באותו מחיר
54,14,11,3,83.9,1227336,14628.56,68.2,41.0,61.9,230,במחיר שוק; סטייה +0.3%; קיימת חלופה טובה יותר באותו מחיר
10,4,3,5,127.03,1889028,14870.72,75.6,39.7,61.7,231,במחיר שוק; סטייה +2.0%; קיימת חלופה טובה יותר באותו מחיר
4,10,1,5,127.03,1880061,14800.13,73.2,46.4,61.7,232,במחיר שוק; סטייה +1.5%; קיימת חלופה טובה יותר באותו מחיר
10,6,3,5,127.03,1877959,14783.59,67.0,48.0,61.6,233,במחיר שוק; סטייה +1.4%; קיימת חלופה טובה יותר באותו מחיר
52,7,11,3,83.9,1228325,14640.35,68.2,40.3,61.6,234,במחיר שוק; סטייה +0.4%; קיימת חלופה טובה יותר באותו מחיר
49,14,10,3,83.9,1227398,14629.3,67.5,40.9,61.6,235,במחיר שוק; סטייה +0.3%; קיימת חלופה טובה יותר באותו מחיר
13,6,4,5,127.03,1879505,14795.76,67.9,46.8,61.5,236,במחיר שוק; סטייה +1.4%; קיימת חלופה טובה יותר באותו מחיר
10,11,3,5,127.03,1890697,14883.86,76.1,38.4,61.5,237,במחיר שוק; סטייה +2.0%; קיימת חלופה טובה יותר באותו מחיר
59,14,12,3,83.9,1234973,14719.58,68.8,35.9,61.5,238,במחיר שוק; סטייה +0.9%
16,5,5,5,127.03,1882720,14821.07,70.1,44.4,61.4,239,במחיר שוק; סטייה +1.6%; קיימת חלופה טובה יותר באותו מחיר
57,7,12,3,83.9,1235159,14721.8,68.8,35.7,61.4,240,במחיר שוק; סטייה +0.9%
7,10,2,5,127.03,1882164,14816.69,74.1,44.8,61.4,241,במחיר שוק; סטייה +1.6%; קיימת חלופה טובה יותר באותו מחיר
47,7,10,3,83.9,1228449,14641.82,67.5,40.2,61.3,242,במחיר שוק; סטייה +0.4%; קיימת חלופה טובה יותר באותו מחיר
7,3,2,5,127.03,1882968,14823.02,74.1,44.2,61.2,243,במחיר שוק; סטייה +1.6%; קיימת חלופה טובה יותר באותו מחיר
68,14,14,3,82.83,1209967,14607.84,64.6,42.1,61.0,244,במחיר שוק; סטייה +0.2%; קיימת חלופה טובה יותר באותו מחיר
15,4,5,5,125.93,1876212,14898.85,75.5,37.0,60.7,245,במחיר שוק; סטייה +2.1%; קיימת חלופה טובה יותר באותו מחיר
38,7,9,5.5,143.86,2107772,14651.55,76.6,45.1,60.7,246,במחיר שוק; סטייה +0.5%
39,7,9,5.5,141.28,2078778,14713.89,77.2,41.0,60.7,247,במחיר שוק; סטייה +0.9%
64,14,13,3,83.9,1237800,14753.28,68.6,34.0,60.7,248,במחיר שוק; סטייה +1.2%
4,4,1,5,127.03,1884514,14835.19,73.5,43.1,60.6,249,במחיר שוק; סטייה +1.7%; קיימת חלופה טובה יותר באותו מחיר
51,7,11,3,82.83,1211831,14630.34,64.4,40.9,60.5,250,במחיר שוק; סטייה +0.3%; קיימת חלופה טובה יותר באותו מחיר
6,10,2,5,125.93,1870708,14855.14,75.3,41.1,60.5,251,במחיר שוק; סטייה +1.9%; קיימת חלופה טובה יותר באותו מחיר
67,14,14,4,113.65,1659838,14604.82,69.5,43.6,60.5,252,במחיר שוק; סטייה +0.1%; קיימת חלופה טובה יותר באותו מחיר
12,4,4,5,125.93,1876088,14897.86,74.5,37.1,60.4,253,במחיר שוק; סטייה +2.1%; קיימת חלופה טובה יותר באותו מחיר
60,7,13,5,125.03,1854458,14832.1,69.6,46.4,60.4,254,במחיר שוק; סטייה +1.7%; קיימת חלופה טובה יותר באותו מחיר
3,12,1,4,116.7,1696058,14533.49,70.4,44.8,60.4,255,במחיר שוק; סטייה -0.3%; קיימת חלופה טובה יותר באותו מחיר
9,4,3,5,125.93,1875161,14890.5,73.4,37.8,60.3,256,במחיר שוק; סטייה +2.1%; קיימת חלופה טובה יותר באותו מחיר
7,5,2,5,127.03,1877464,14779.69,67.4,48.4,60.3,257,במחיר שוק; סטייה +1.3%; קיימת חלופה טובה יותר באותו מחיר
7,4,2,5,127.03,1887420,14858.07,74.6,40.9,60.2,258,במחיר שוק; סטייה +1.9%; קיימת חלופה טובה יותר באותו מחיר
46,7,10,3,82.83,1212140,14634.07,63.7,40.7,60.2,259,במחיר שוק; סטייה +0.3%; קיימת חלופה טובה יותר באותו מחיר
5,12,2,4,116.7,1700882,14574.82,72.1,42.4,60.2,260,במחיר שוק; סטייה -0.1%; קיימת חלופה טובה יותר באותו מחיר
4,5,1,5,127.03,1876908,14775.31,66.5,48.8,60.1,261,במחיר שוק; סטייה +1.3%; קיימת חלופה טובה יותר באותו מחיר
48,7,11,5.5,144.26,2119377,14691.37,75.7,42.5,60.1,262,במחיר שוק; סטייה +0.7%
18,11,6,5,125.93,1878685,14918.49,75.6,35.1,60.1,263,במחיר שוק; סטייה +2.3%; קיימת חלופה טובה יותר באותו מחיר
4,6,1,5,127.03,1874991,14760.22,64.4,50.2,59.9,264,במחיר שוק; סטייה +1.2%; קיימת חלופה טובה יותר באותו מחיר
12,11,4,5,125.93,1877078,14905.73,73.9,36.3,59.9,265,במחיר שוק; סטייה +2.2%; קיימת חלופה טובה יותר באותו מחיר
7,6,2,5,127.03,1876351,14770.93,65.3,49.2,59.8,266,במחיר שוק; סטייה +1.3%; קיימת חלופה טובה יותר באותו מחיר
2,9,1,4,113.97,1667884,14634.41,74.4,38.9,59.8,267,במחיר שוק; סטייה +0.3%; קיימת חלופה טובה יותר באותו מחיר
7,11,2,5,127.03,1890203,14879.97,75.2,38.8,59.7,268,במחיר שוק; סטייה +2.0%; קיימת חלופה טובה יותר באותו מחיר
9,11,3,5,125.93,1876645,14902.29,73.0,36.6,59.7,269,במחיר שוק; סטייה +2.2%; קיימת חלופה טובה יותר באותו מחיר
4,11,1,5,127.03,1889399,14873.64,74.3,39.4,59.6,270,במחיר שוק; סטייה +2.0%; קיימת חלופה טובה יותר באותו מחיר
15,11,5,5,125.93,1879366,14923.89,74.8,34.6,59.6,271,במחיר שוק; סטייה +2.3%; קיימת חלופה טובה יותר באותו מחיר
43,7,10,5.5,143.86,2111215,14675.48,76.5,43.5,59.5,272,במחיר שוק; סטייה +0.6%
49,7,11,5.5,141.28,2083187,14745.09,77.7,38.9,59.5,273,במחיר שוק; סטייה +1.1%
3,3,1,5,125.93,1874913,14888.53,75.3,38.0,59.4,274,במחיר שוק; סטייה +2.1%; קיימת חלופה טובה יותר באותו מחיר
44,7,10,5.5,141.28,2082383,14739.4,77.1,39.3,59.4,275,במחיר שוק; סטייה +1.1%
41,14,9,5.5,139.78,2070225,14810.6,77.8,34.6,59.4,276,במחיר שוק; סטייה +1.6%
56,7,12,3,82.83,1218582,14711.84,65.0,36.3,59.0,277,במחיר שוק; סטייה +0.9%; קיימת חלופה טובה יותר באותו מחיר
62,7,13,3,83.9,1242360,14807.63,69.5,30.9,58.7,278,במחיר שוק; סטייה +1.5%; קיימת חלופה טובה יותר באותו מחיר
40,14,9,5.5,142.42,2096082,14717.61,73.1,40.7,58.7,279,במחיר שוק; סטייה +0.9%; קיימת חלופה טובה יותר באותו מחיר
3,4,1,5,125.93,1871945,14864.96,70.4,40.2,58.5,280,במחיר שוק; סטייה +1.9%; קיימת חלופה טובה יותר באותו מחיר
6,4,2,5,125.93,1873306,14875.77,71.5,39.2,58.5,281,במחיר שוק; סטייה +2.0%; קיימת חלופה טובה יותר באותו מחיר
73,14,15,3,82.83,1217405,14697.63,65.2,37.1,58.4,282,במחיר שוק; סטייה +0.8%; קיימת חלופה טובה יותר באותו מחיר
6,11,2,5,125.93,1875655,14894.43,72.1,37.4,58.1,283,במחיר שוק; סטייה +2.1%; קיימת חלופה טובה יותר באותו מחיר
51,14,11,5.5,139.78,2074839,14843.6,78.1,32.4,58.1,284,במחיר שוק; סטייה +1.8%
3,11,1,5,125.93,1875099,14890.01,71.2,37.8,57.9,285,במחיר שוק; סטייה +2.1%; קיימת חלופה טובה יותר באותו מחיר
72,14,15,4,113.65,1669492,14689.77,70.1,38.7,57.9,286,במחיר שוק; סטייה +0.7%; קיימת חלופה טובה יותר באותו מחיר
65,7,14,5,125.03,1865061,14916.91,70.2,38.2,57.7,287,במחיר שוק; סטייה +2.3%; קיימת חלופה טובה יותר באותו מחיר
69,14,14,3,83.9,1246041,14851.5,69.2,28.5,57.7,288,במחיר שוק; סטייה +1.8%; קיימת חלופה טובה יותר באותו מחיר
61,7,13,3,82.83,1226074,14802.29,65.7,31.2,57.5,289,במחיר שוק; סטייה +1.5%; קיימת חלופה טובה יותר באותו מחיר
50,14,11,5.5,142.42,2103732,14771.32,74.3,37.2,57.3,290,במחיר שוק; סטייה +1.3%; קיימת חלופה טובה יותר באותו מחיר
67,7,14,3,83.9,1249681,14894.89,70.1,26.0,57.2,291,במחיר שוק; סטייה +2.1%; קיימת חלופה טובה יותר באותו מחיר
66,7,14,3,82.83,1233127,14887.44,66.3,26.4,57.1,292,במחיר שוק; סטייה +2.1%
46,14,10,5.5,139.78,2081950,14894.48,78.4,29.0,57.0,293,במחיר שוק; סטייה +2.1%
78,14,16,3,82.83,1224844,14787.44,65.9,32.1,56.8,294,במחיר שוק; סטייה +1.4%; קיימת חלופה טובה יותר באותו מחיר
45,14,10,5.5,142.42,2107257,14796.07,73.7,35.5,56.4,295,במחיר שוק; סטייה +1.4%; קיימת חלופה טובה יותר באותו מחיר
77,14,16,4,113.65,1679147,14774.72,70.8,33.8,56.4,296,במחיר שוק; סטייה +1.3%; קיימת חלופה טובה יותר באותו מחיר
83,14,17,3,82.83,1232282,14877.24,66.5,27.0,56.4,297,במחיר שוק; סטייה +2.0%
88,14,18,3,82.83,1239720,14967.04,67.2,22.0,54.9,298,במחיר שוק; סטייה +2.6%
82,14,17,4,113.65,1688801,14859.67,71.4,28.8,54.8,299,במחיר שוק; סטייה +1.9%; קיימת חלופה טובה יותר באותו מחיר
74,14,15,3,83.9,1255171,14960.32,69.8,22.3,54.7,300,במחיר שוק; סטייה +2.6%; קיימת חלופה טובה יותר באותו מחיר
54,7,12,5.5,141.04,2113125,14982.45,83.1,23.2,54.6,301,במחיר שוק; סטייה +2.7%
71,7,15,3,82.83,1240490,14976.34,66.9,21.4,54.6,302,במחיר שוק; סטייה +2.7%
72,7,15,3,83.9,1257000,14982.12,70.7,21.1,54.6,303,במחיר שוק; סטייה +2.7%; קיימת חלופה טובה יותר באותו מחיר
70,7,15,5,125.03,1874402,14991.62,70.9,31.1,54.4,304,במחיר שוק; סטייה +2.8%; קיימת חלופה טובה יותר באותו מחיר
77,7,16,3,83.9,1264252,15068.56,71.3,16.3,54.3,305,במחיר שוק; סטייה +3.3%
79,14,16,3,83.9,1264442,15070.82,71.3,16.1,54.2,306,במחיר שוק; סטייה +3.3%
87,14,18,4,113.65,1698455,14944.61,76.0,23.9,53.9,307,במחיר שוק; סטייה +2.5%
59,7,13,5.5,139.78,2109033,15088.23,80.3,16.1,53.1,308,במחיר שוק; סטייה +3.5%
82,7,17,3,83.9,1271118,15150.39,72.0,11.7,52.9,309,במחיר שוק; סטייה +3.9%
61,14,13,5.5,139.78,2110954,15101.97,80.3,15.2,52.7,310,במחיר שוק; סטייה +3.5%
84,14,17,3,83.9,1272264,15164.05,72.0,10.9,52.6,311,במחיר שוק; סטייה +4.0%
56,14,12,5.5,139.78,2111012,15102.39,79.7,15.2,52.5,312,במחיר שוק; סטייה +3.5%
90,7,19,3,82.83,1246322,15046.75,67.8,17.5,52.3,313,במחיר שוק; סטייה +3.2%; קיימת חלופה טובה יותר באותו מחיר
92,14,19,3,82.83,1246322,15046.75,67.8,17.5,52.3,314,במחיר שוק; סטייה +3.2%; קיימת חלופה טובה יותר באותו מחיר
75,7,16,5,125.03,1884807,15074.84,71.5,23.1,51.8,315,במחיר שוק; סטייה +3.4%; קיימת חלופה טובה יותר באותו מחיר
76,7,16,3,82.83,1247598,15062.15,67.5,16.6,51.8,316,במחיר שוק; סטייה +3.3%; קיימת חלופה טובה יותר באותו מחיר
81,7,17,3,82.83,1254192,15141.76,68.2,12.2,50.5,317,במחיר שוק; סטייה +3.8%; קיימת חלופה טובה יותר באותו מחיר
87,7,18,3,83.9,1278425,15237.49,78.2,6.8,50.2,318,במחיר שוק; סטייה +4.5%
89,14,18,3,83.9,1280409,15261.13,79.1,5.4,50.0,319,במחיר שוק; סטייה +4.6%
80,7,17,5,125.03,1895083,15157.03,72.1,15.2,49.2,320,במחיר שוק; סטייה +3.9%; קיימת חלופה טובה יותר באותו מחיר
86,7,18,3,82.83,1261609,15231.31,67.9,7.1,48.6,321,במחיר שוק; סטייה +4.4%; קיימת חלופה טובה יותר באותו מחיר
85,7,18,5,125.03,1905419,15239.69,76.8,7.3,47.2,322,במחיר שוק; סטייה +4.5%
